学号,姓名,语文,数学,英语,物理,化学,生物
20241265,学生1265,60,40,80,55,48,56
20241266,学生1266,47,62,58,44,44,68
20241267,学生1267,88,73,85,64,79,44
20241268,学生1268,53,45,67,69,81,63
20241269,学生1269,50,71,52,52,51,80
20241270,学生1270,54,40,97,91,81,80
20241271,学生1271,83,58,92,56,96,48
20241272,学生1272,80,85,74,49,83,89
20241273,学生1273,44,75,56,41,49,73
20241274,学生1274,86,60,47,99,77,65
20241275,学生1275,62,66,77,91,77,69
20241276,学生1276,88,65,42,80,58,61
20241277,学生1277,71,51,55,77,94,47
20241278,学生1278,71,53,48,52,46,70
20241279,学生1279,78,73,91,90,80,55
20241280,学生1280,98,40,88,63,93,97
20241281,学生1281,46,51,48,46,100,91
20241282,学生1282,60,49,82,87,78,50
20241283,学生1283,57,90,98,48,68,40
20241284,学生1284,67,56,71,76,86,87
20241285,学生1285,95,60,73,77,61,94
20241286,学生1286,84,73,50,50,93,70
20241287,学生1287,61,100,61,41,77,64
20241288,学生1288,90,51,65,65,48,84
20241289,学生1289,86,49,96,87,52,88
20241290,学生1290,73,65,76,63,77,60
20241291,学生1291,43,64,88,79,83,49
20241292,学生1292,59,84,45,97,90,63
20241293,学生1293,71,89,83,71,72,89
20241294,学生1294,50,56,77,47,94,61
20241295,学生1295,53,78,95,75,52,92
20241296,学生1296,63,43,59,74,72,58
20241297,学生1297,43,100,98,100,72,90
20241298,学生1298,66,88,89,53,41,57
20241299,学生1299,48,77,46,98,99,74
20241300,学生1300,71,71,72,90,79,65
20241301,学生1301,78,41,62,77,41,93
20241302,学生1302,71,89,46,69,46,69
20241303,学生1303,70,68,55,79,93,100
20241304,学生1304,41,45,96,67,69,82
20241305,学生1305,98,99,65,61,79,62
20241306,学生1306,40,81,52,70,90,92
20241307,学生1307,85,51,93,83,57,40
20241308,学生1308,45,54,92,86,45,70
20241309,学生1309,53,44,70,62,40,58
20241310,学生1310,91,94,71,78,54,99
20241311,学生1311,52,74,74,56,73,68
20241312,学生1312,62,50,68,59,50,66
20241313,学生1313,57,71,85,92,57,46
20241314,学生1314,90,58,72,87,74,65
20241315,学生1315,96,82,80,72,60,92
20241316,学生1316,47,85,65,70,99,61
20241317,学生1317,72,60,99,95,44,67
20241318,学生1318,51,60,58,67,48,51
20241319,学生1319,76,99,64,91,71,78
20241320,学生1320,78,70,46,64,71,46
20241321,学生1321,78,71,76,86,62,91
20241322,学生1322,56,73,60,100,65,68
20241323,学生1323,78,76,48,42,61,46
20241324,学生1324,59,40,54,77,68,61
20241325,学生1325,59,89,49,95,52,80
20241326,学生1326,99,89,51,68,57,95
20241327,学生1327,50,68,62,81,57,98
20241328,学生1328,100,100,77,64,56,56
20241329,学生1329,76,48,95,59,99,47
20241330,学生1330,84,62,42,88,46,85
20241331,学生1331,84,87,67,59,64,100
20241332,学生1332,65,87,75,71,90,54
20241333,学生1333,41,86,73,71,93,64
20241334,学生1334,72,61,94,82,95,67
20241335,学生1335,97,90,81,87,44,49
20241336,学生1336,43,77,57,99,63,90
20241337,学生1337,98,66,92,51,79,65
20241338,学生1338,54,99,53,85,49,70
20241339,学生1339,96,99,98,59,41,62
20241340,学生1340,44,100,50,53,81,60
20241341,学生1341,92,57,98,49,90,86
20241342,学生1342,46,40,53,40,44,78
20241343,学生1343,51,95,87,87,83,64
20241344,学生1344,40,52,78,77,62,89
20241345,学生1345,78,92,97,80,74,50
20241346,学生1346,50,66,83,100,47,46
20241347,学生1347,79,45,99,63,75,47
20241348,学生1348,89,100,100,77,93,54
20241349,学生1349,57,81,92,55,84,100
20241350,学生1350,91,56,70,53,44,78
20241351,学生1351,92,89,92,47,91,45
20241352,学生1352,50,71,66,91,88,88
20241353,学生1353,90,97,76,70,75,68
20241354,学生1354,99,87,100,77,55,40
20241355,学生1355,94,74,72,51,84,95
20241356,学生1356,66,46,97,60,86,87
20241357,学生1357,64,68,77,49,86,51
20241358,学生1358,81,93,46,49,68,74
20241359,学生1359,47,47,66,61,89,70
20241360,学生1360,74,41,56,43,81,67
20241361,学生1361,42,65,95,40,53,85
20241362,学生1362,61,46,89,96,48,92
20241363,学生1363,67,74,91,87,43,43
20241364,学生1364,41,99,52,59,89,64
20241365,学生1365,57,89,97,89,73,84
20241366,学生1366,71,49,53,50,97,47
20241367,学生1367,76,53,91,62,88,75
20241368,学生1368,82,55,46,45,61,95
20241369,学生1369,51,81,62,86,91,86
20241370,学生1370,99,80,72,54,94,90
20241371,学生1371,99,54,43,64,76,77
20241372,学生1372,58,45,40,82,69,43
20241373,学生1373,73,56,96,45,79,78
20241374,学生1374,91,86,100,73,93,87
20241375,学生1375,46,46,43,63,85,83
20241376,学生1376,61,82,53,97,62,93
20241377,学生1377,73,62,60,69,56,93
20241378,学生1378,86,61,72,46,91,68
20241379,学生1379,50,89,45,43,66,44
20241380,学生1380,40,43,50,92,40,71
20241381,学生1381,58,85,80,65,81,64
20241382,学生1382,73,63,91,61,61,86
20241383,学生1383,50,64,94,100,68,72
20241384,学生1384,85,92,44,66,57,54
20241385,学生1385,62,55,76,59,96,79
20241386,学生1386,40,62,57,85,84,50
20241387,学生1387,71,76,50,54,84,54
20241388,学生1388,67,64,86,87,100,90
20241389,学生1389,80,55,78,54,91,64
20241390,学生1390,99,43,41,67,54,49
20241391,学生1391,55,67,99,85,91,65
20241392,学生1392,60,94,55,84,54,68
20241393,学生1393,69,79,89,48,73,44
20241394,学生1394,61,88,65,96,68,91
20241395,学生1395,81,40,74,72,84,66
20241396,学生1396,91,40,60,63,77,50
20241397,学生1397,91,70,55,92,72,85
20241398,学生1398,90,74,49,49,87,59
20241399,学生1399,49,46,84,64,64,99
20241400,学生1400,58,81,99,79,93,47
20241401,学生1401,42,56,49,52,52,64
20241402,学生1402,96,89,80,59,96,80
20241403,学生1403,97,91,89,70,43,84
20241404,学生1404,40,66,54,67,60,80
20241405,学生1405,89,43,70,89,85,44
20241406,学生1406,73,60,54,46,54,41
20241407,学生1407,47,46,43,89,62,77
20241408,学生1408,53,97,62,89,44,46
20241409,学生1409,56,43,71,86,87,76
20241410,学生1410,54,66,76,93,76,59
20241411,学生1411,73,64,99,85,75,92
20241412,学生1412,86,60,92,78,48,95
20241413,学生1413,99,53,75,92,45,67
20241414,学生1414,45,75,66,44,93,68
20241415,学生1415,82,73,47,50,99,99
20241416,学生1416,47,45,62,95,62,42
20241417,学生1417,59,83,57,52,80,99
20241418,学生1418,76,50,45,54,81,60
20241419,学生1419,61,77,54,62,56,95
20241420,学生1420,73,57,43,52,67,86
20241421,学生1421,100,56,59,100,76,94
20241422,学生1422,90,70,72,75,96,95
20241423,学生1423,57,77,80,96,70,93
20241424,学生1424,56,60,65,100,99,49
20241425,学生1425,88,85,81,90,47,50
20241426,学生1426,46,41,45,85,48,91
20241427,学生1427,86,81,72,48,82,51
20241428,学生1428,41,48,79,50,57,98
20241429,学生1429,81,78,41,78,44,40
20241430,学生1430,58,80,73,97,83,84
20241431,学生1431,50,55,98,70,84,83
20241432,学生1432,99,67,92,52,63,57
20241433,学生1433,47,81,98,94,81,89
20241434,学生1434,98,59,43,45,67,83
20241435,学生1435,43,80,71,56,44,81
20241436,学生1436,53,94,52,64,79,80
20241437,学生1437,85,41,70,93,99,58
20241438,学生1438,67,79,62,90,70,84
20241439,学生1439,67,99,40,66,67,64
20241440,学生1440,82,99,45,51,93,79
20241441,学生1441,41,94,99,42,81,83
20241442,学生1442,65,63,55,52,95,56
20241443,学生1443,74,88,84,66,82,57
20241444,学生1444,94,69,44,66,71,86
20241445,学生1445,58,45,65,80,97,91
20241446,学生1446,80,79,100,57,41,98
20241447,学生1447,77,85,73,47,42,52
20241448,学生1448,93,83,82,66,57,93
20241449,学生1449,66,44,69,64,90,86
20241450,学生1450,63,65,43,41,85,45
20241451,学生1451,47,72,74,64,90,99
20241452,学生1452,57,53,63,59,46,79
20241453,学生1453,62,99,68,58,72,57
20241454,学生1454,74,69,51,100,89,40
20241455,学生1455,51,81,68,41,94,89
20241456,学生1456,97,90,73,49,49,64
20241457,学生1457,79,66,83,73,53,74
20241458,学生1458,93,88,45,88,93,53
20241459,学生1459,80,83,91,48,44,47
20241460,学生1460,72,78,43,70,63,73
20241461,学生1461,91,97,95,82,78,66
20241462,学生1462,43,44,89,46,85,52
20241463,学生1463,99,80,78,52,92,67
20241464,学生1464,100,49,83,98,65,54
20241465,学生1465,83,40,89,95,82,85
20241466,学生1466,48,76,76,41,94,53
20241467,学生1467,95,42,59,56,86,69
20241468,学生1468,75,83,95,70,95,41
20241469,学生1469,40,67,49,97,94,60
20241470,学生1470,46,61,43,63,98,89
20241471,学生1471,43,85,71,96,100,84
20241472,学生1472,59,59,44,95,51,46
20241473,学生1473,45,53,41,96,48,98
20241474,学生1474,66,84,45,73,48,50
20241475,学生1475,55,66,48,91,71,75
20241476,学生1476,56,44,54,49,66,47
20241477,学生1477,77,76,73,79,42,88
20241478,学生1478,87,98,60,71,74,60
20241479,学生1479,81,40,80,88,63,95
20241480,学生1480,46,97,55,98,78,59
20241481,学生1481,85,55,99,58,75,69
20241482,学生1482,56,55,91,73,61,61
20241483,学生1483,77,83,81,95,67,56
20241484,学生1484,94,53,48,71,78,59
20241485,学生1485,46,100,82,52,51,90
20241486,学生1486,61,61,60,78,97,55
20241487,学生1487,45,71,51,45,96,43
20241488,学生1488,64,74,89,99,94,50
20241489,学生1489,82,86,94,69,57,86
20241490,学生1490,93,100,45,72,52,100
20241491,学生1491,53,54,50,40,51,72
20241492,学生1492,71,67,51,56,79,95
20241493,学生1493,40,50,41,46,63,98
20241494,学生1494,62,65,57,96,73,56
20241495,学生1495,52,80,61,95,47,62
20241496,学生1496,100,81,43,54,92,83
20241497,学生1497,100,88,84,47,60,80
20241498,学生1498,65,73,58,88,49,48
20241499,学生1499,87,42,91,49,60,79
20241500,学生1500,86,95,100,55,76,56
20241501,学生1501,59,48,88,63,70,92
20241502,学生1502,69,95,47,45,86,56
20241503,学生1503,72,86,84,71,70,49
20241504,学生1504,45,76,52,87,66,95
20241505,学生1505,85,40,65,95,65,84
20241506,学生1506,85,62,49,42,73,44
20241507,学生1507,67,62,47,82,88,45
20241508,学生1508,65,55,45,77,73,83
20241509,学生1509,57,83,67,52,76,95
20241510,学生1510,94,77,68,50,74,82
20241511,学生1511,55,47,97,41,66,77
20241512,学生1512,92,83,81,63,79,67
20241513,学生1513,94,62,74,95,95,50
20241514,学生1514,92,67,95,97,94,41
20241515,学生1515,67,47,53,62,77,83
20241516,学生1516,64,96,56,59,53,41
20241517,学生1517,55,70,65,83,98,69
20241518,学生1518,85,41,45,56,93,94
20241519,学生1519,40,47,98,100,55,53
20241520,学生1520,41,89,59,89,91,61
20241521,学生1521,72,41,72,97,96,96
20241522,学生1522,73,74,86,45,66,73
20241523,学生1523,92,96,48,83,94,88
20241524,学生1524,64,92,68,81,62,72
20241525,学生1525,64,67,61,74,100,69
20241526,学生1526,60,84,97,100,100,65
20241527,学生1527,53,86,68,99,61,87
20241528,学生1528,96,58,76,80,79,92
20241529,学生1529,61,72,54,81,96,92
20241530,学生1530,98,59,43,68,81,48
20241531,学生1531,97,91,48,51,47,56
20241532,学生1532,88,92,81,57,50,84
20241533,学生1533,97,82,74,99,99,56
20241534,学生1534,41,92,94,60,59,55
20241535,学生1535,87,51,55,78,77,99
20241536,学生1536,50,79,90,70,89,44
20241537,学生1537,59,84,95,100,95,76
20241538,学生1538,91,87,98,97,97,100
20241539,学生1539,79,75,70,81,53,78
20241540,学生1540,53,55,62,91,90,89
20241541,学生1541,51,79,68,68,71,57
20241542,学生1542,53,62,72,49,55,53
20241543,学生1543,83,97,40,53,71,67
20241544,学生1544,88,43,55,51,89,83
20241545,学生1545,100,59,76,72,47,92
20241546,学生1546,46,95,46,67,94,93
20241547,学生1547,77,77,51,58,78,50
20241548,学生1548,89,42,86,40,61,77
20241549,学生1549,88,90,61,63,93,58
20241550,学生1550,90,40,96,78,68,73
20241551,学生1551,69,95,84,98,45,73
20241552,学生1552,94,46,85,95,73,93
20241553,学生1553,73,94,99,100,92,82
20241554,学生1554,94,74,62,79,63,74
20241555,学生1555,58,75,88,86,49,95
20241556,学生1556,67,42,88,76,78,72
20241557,学生1557,80,83,96,95,51,40
20241558,学生1558,40,67,46,45,65,61
20241559,学生1559,93,87,54,97,53,55
20241560,学生1560,61,90,46,62,91,93
20241561,学生1561,62,62,89,87,77,91
20241562,学生1562,73,87,80,58,53,79
20241563,学生1563,60,49,71,41,88,71
20241564,学生1564,41,66,96,80,94,68
20241565,学生1565,41,66,65,91,87,93
20241566,学生1566,40,54,100,85,51,56
20241567,学生1567,51,97,98,53,73,85
20241568,学生1568,79,85,86,46,56,87
20241569,学生1569,80,73,45,69,85,88
20241570,学生1570,77,49,98,81,78,40
20241571,学生1571,80,86,62,42,51,98
20241572,学生1572,57,93,58,40,83,48
20241573,学生1573,94,75,56,54,46,98
20241574,学生1574,42,83,84,62,99,46
20241575,学生1575,60,42,50,69,66,87
20241576,学生1576,91,90,80,53,96,75
20241577,学生1577,65,71,48,62,66,64
20241578,学生1578,93,49,76,66,77,90
20241579,学生1579,91,88,96,48,85,66
20241580,学生1580,63,67,65,72,40,66
20241581,学生1581,97,45,94,40,40,57
20241582,学生1582,85,57,81,61,53,98
20241583,学生1583,62,57,71,47,86,86
20241584,学生1584,91,61,73,77,47,40
20241585,学生1585,84,49,95,78,100,83
20241586,学生1586,57,82,83,78,85,76
20241587,学生1587,48,71,58,54,61,73
20241588,学生1588,43,49,74,93,90,73
20241589,学生1589,63,100,42,51,70,61
20241590,学生1590,50,63,80,99,73,78
20241591,学生1591,89,48,86,84,58,48
20241592,学生1592,92,69,82,71,62,97
20241593,学生1593,61,77,53,83,64,74
20241594,学生1594,57,51,78,48,51,87
20241595,学生1595,70,55,56,74,51,85
20241596,学生1596,58,53,80,67,53,69
20241597,学生1597,68,79,94,58,82,62
20241598,学生1598,60,85,90,55,99,43
20241599,学生1599,99,91,86,92,60,84
20241600,学生1600,47,87,90,50,48,91
20241601,学生1601,50,63,64,80,72,54
20241602,学生1602,44,94,40,97,74,45
20241603,学生1603,68,77,90,77,55,75
20241604,学生1604,99,57,62,71,63,65
20241605,学生1605,57,70,56,42,75,78
20241606,学生1606,48,49,61,86,71,62
20241607,学生1607,70,97,45,42,93,92
20241608,学生1608,69,45,75,90,40,97
20241609,学生1609,96,75,75,73,40,61
20241610,学生1610,50,87,50,77,75,82
20241611,学生1611,98,61,83,82,95,47
20241612,学生1612,98,58,98,61,70,71
20241613,学生1613,49,97,67,78,63,61
20241614,学生1614,72,79,97,45,90,62
20241615,学生1615,93,87,49,54,99,82
20241616,学生1616,53,57,84,74,41,92
20241617,学生1617,57,95,66,71,57,41
20241618,学生1618,70,49,78,68,44,88
20241619,学生1619,92,41,63,99,61,84
20241620,学生1620,45,74,65,67,84,67
20241621,学生1621,57,100,54,68,48,57
20241622,学生1622,97,89,98,82,99,99
20241623,学生1623,71,71,93,89,83,99
20241624,学生1624,50,74,79,87,82,100
20241625,学生1625,68,44,94,90,81,85
20241626,学生1626,61,86,69,93,63,81
20241627,学生1627,64,66,70,42,84,68
20241628,学生1628,45,40,47,53,59,70
20241629,学生1629,84,42,92,86,45,93
20241630,学生1630,81,100,50,98,66,66
20241631,学生1631,88,100,85,75,81,73
20241632,学生1632,62,85,60,85,62,95
20241633,学生1633,78,53,60,88,99,89
20241634,学生1634,56,48,57,53,75,53
20241635,学生1635,45,50,87,78,75,70
20241636,学生1636,55,72,74,97,81,84
20241637,学生1637,64,96,63,93,64,67
20241638,学生1638,99,59,71,76,45,97
20241639,学生1639,63,56,95,71,94,51
20241640,学生1640,93,96,60,82,77,87
20241641,学生1641,63,62,50,72,100,45
20241642,学生1642,46,52,69,99,56,85
20241643,学生1643,63,54,53,82,83,78
20241644,学生1644,92,44,96,100,96,68
20241645,学生1645,49,42,92,49,52,44
20241646,学生1646,48,52,40,70,58,76
20241647,学生1647,84,49,94,94,94,97
20241648,学生1648,71,62,44,65,50,98
20241649,学生1649,88,84,94,67,57,80
20241650,学生1650,48,48,58,87,41,64
20241651,学生1651,95,95,50,52,52,85
20241652,学生1652,40,72,83,57,57,73
20241653,学生1653,63,78,49,57,53,44
20241654,学生1654,73,73,53,98,41,100
20241655,学生1655,72,51,92,65,99,44
20241656,学生1656,84,58,74,94,63,87
20241657,学生1657,53,67,94,84,89,41
20241658,学生1658,52,75,86,47,69,98
20241659,学生1659,75,42,98,65,98,72
20241660,学生1660,72,46,46,66,87,72
20241661,学生1661,94,99,50,54,47,51
20241662,学生1662,73,90,100,73,65,65
20241663,学生1663,49,93,92,85,52,95
20241664,学生1664,80,50,70,52,46,43
20241665,学生1665,57,67,95,50,52,100
20241666,学生1666,90,46,94,87,87,70
20241667,学生1667,47,82,50,81,70,90
20241668,学生1668,95,66,73,62,71,56
20241669,学生1669,97,54,59,42,58,58
20241670,学生1670,64,55,60,46,49,100
20241671,学生1671,97,43,84,94,95,89
20241672,学生1672,54,45,65,43,75,53
20241673,学生1673,90,42,81,45,61,63
20241674,学生1674,60,60,72,67,76,52
20241675,学生1675,67,76,91,85,88,68
20241676,学生1676,51,84,73,48,84,49
20241677,学生1677,67,56,45,97,48,81
20241678,学生1678,90,83,71,87,46,94
20241679,学生1679,80,98,60,76,44,86
20241680,学生1680,62,65,64,44,56,76
20241681,学生1681,46,52,79,98,87,94
20241682,学生1682,80,95,88,54,67,79
20241683,学生1683,43,71,64,91,57,96
20241684,学生1684,74,94,94,96,51,46
20241685,学生1685,77,79,66,46,74,60
20241686,学生1686,74,78,81,82,43,80
20241687,学生1687,63,48,41,63,60,82
20241688,学生1688,75,100,51,68,40,61
20241689,学生1689,93,70,61,62,94,47
20241690,学生1690,79,40,67,44,55,68
20241691,学生1691,62,70,49,64,72,97
20241692,学生1692,89,72,86,88,79,77
20241693,学生1693,79,95,91,91,40,53
20241694,学生1694,84,57,66,82,40,46
20241695,学生1695,95,60,43,79,69,74
20241696,学生1696,70,43,76,81,51,99
20241697,学生1697,53,62,84,91,97,92
20241698,学生1698,82,48,45,76,88,79
20241699,学生1699,76,57,47,50,83,70
20241700,学生1700,60,83,92,92,92,63
20241701,学生1701,92,81,49,81,88,76
20241702,学生1702,83,45,41,69,93,95
20241703,学生1703,68,91,82,95,80,90
20241704,学生1704,48,49,44,69,44,98
20241705,学生1705,58,50,87,86,78,80
20241706,学生1706,48,72,49,43,55,73
20241707,学生1707,81,63,96,84,66,42
20241708,学生1708,87,48,40,82,92,79
20241709,学生1709,80,84,47,52,59,78
20241710,学生1710,50,71,96,86,75,62
20241711,学生1711,99,92,92,95,73,40
20241712,学生1712,92,62,82,89,41,45
20241713,学生1713,47,82,93,79,62,78
20241714,学生1714,44,60,47,50,76,53
20241715,学生1715,58,89,56,60,66,52
20241716,学生1716,65,82,74,75,84,44
20241717,学生1717,91,91,54,94,65,56
20241718,学生1718,87,59,72,94,60,63
20241719,学生1719,68,76,99,98,89,79
20241720,学生1720,98,77,41,40,63,88
20241721,学生1721,75,86,53,59,86,81
20241722,学生1722,54,83,90,46,90,49
20241723,学生1723,78,57,92,89,49,80
20241724,学生1724,85,98,56,59,72,79
20241725,学生1725,92,83,95,77,54,92
20241726,学生1726,86,55,91,80,63,62
20241727,学生1727,100,57,65,58,75,88
20241728,学生1728,51,72,100,93,77,73
20241729,学生1729,64,56,89,46,63,46
20241730,学生1730,64,96,72,80,77,44
20241731,学生1731,77,56,46,44,72,91
20241732,学生1732,85,40,98,72,45,99
20241733,学生1733,91,79,63,41,79,41
20241734,学生1734,47,82,79,80,98,49
20241735,学生1735,87,67,82,93,81,77
20241736,学生1736,71,57,52,47,92,87
20241737,学生1737,40,63,41,48,87,60
20241738,学生1738,75,73,56,85,73,98
20241739,学生1739,81,83,45,72,73,59
20241740,学生1740,68,87,54,87,77,94
20241741,学生1741,99,72,45,73,52,60
20241742,学生1742,82,44,75,78,99,61
20241743,学生1743,78,51,73,86,82,65
20241744,学生1744,44,87,53,76,84,97
20241745,学生1745,88,88,87,49,78,81
20241746,学生1746,69,83,40,45,88,57
20241747,学生1747,45,54,60,69,55,98
20241748,学生1748,81,72,94,72,91,56
20241749,学生1749,74,86,70,42,54,91
20241750,学生1750,51,95,46,58,48,65
20241751,学生1751,97,74,46,97,55,55
20241752,学生1752,90,53,53,88,42,54
20241753,学生1753,68,77,89,55,61,49
20241754,学生1754,60,82,67,87,98,41
20241755,学生1755,64,97,52,50,59,64
20241756,学生1756,54,65,94,69,71,84
20241757,学生1757,58,73,49,88,49,86
20241758,学生1758,51,53,56,47,63,83
20241759,学生1759,48,65,65,89,80,100
20241760,学生1760,96,78,86,61,43,59
20241761,学生1761,59,99,87,69,45,61
20241762,学生1762,68,43,88,90,52,100
20241763,学生1763,87,79,74,92,91,93
20241764,学生1764,90,88,55,97,82,86
20241765,学生1765,40,96,93,77,67,47
20241766,学生1766,99,69,74,42,87,71
20241767,学生1767,93,56,85,52,48,43
20241768,学生1768,60,93,82,59,88,90
20241769,学生1769,98,51,49,44,82,50
20241770,学生1770,77,43,86,94,45,46
20241771,学生1771,83,64,90,67,65,86
20241772,学生1772,52,94,93,95,90,91
20241773,学生1773,44,96,85,98,41,100
20241774,学生1774,91,92,69,60,82,73
20241775,学生1775,51,43,58,76,97,80
20241776,学生1776,42,70,79,85,46,44
20241777,学生1777,42,50,77,63,75,59
20241778,学生1778,78,82,70,60,59,100
20241779,学生1779,85,100,95,68,77,81
20241780,学生1780,96,65,54,55,90,47
20241781,学生1781,53,100,41,89,63,93
20241782,学生1782,87,41,79,55,45,62
20241783,学生1783,68,69,87,70,45,90
20241784,学生1784,92,75,97,75,44,91
20241785,学生1785,62,79,97,73,89,70
20241786,学生1786,78,47,91,99,61,56
20241787,学生1787,96,58,42,60,59,90
20241788,学生1788,83,87,48,85,46,92
20241789,学生1789,42,49,95,67,73,93
20241790,学生1790,54,59,45,47,93,48
20241791,学生1791,58,90,44,55,52,99
20241792,学生1792,70,73,45,52,59,80
20241793,学生1793,96,67,73,81,96,60
20241794,学生1794,65,93,83,84,93,69
20241795,学生1795,72,54,78,64,74,58
20241796,学生1796,73,43,82,47,40,51
20241797,学生1797,69,91,69,88,67,61
20241798,学生1798,67,41,86,66,92,76
20241799,学生1799,73,46,96,98,72,49
20241800,学生1800,80,98,78,62,65,51
20241801,学生1801,40,88,64,84,42,79
20241802,学生1802,78,81,67,88,95,85
20241803,学生1803,40,96,66,71,83,56
20241804,学生1804,97,97,54,52,92,49
20241805,学生1805,98,65,52,68,61,95
20241806,学生1806,51,98,70,72,93,81
20241807,学生1807,52,85,96,95,55,93
20241808,学生1808,63,90,44,63,57,48
20241809,学生1809,55,56,76,40,87,84
20241810,学生1810,51,56,42,82,91,41
20241811,学生1811,47,89,68,100,45,97
20241812,学生1812,100,56,46,76,91,40
20241813,学生1813,81,43,96,47,84,49
20241814,学生1814,74,96,66,85,52,85
20241815,学生1815,74,61,73,67,44,69
20241816,学生1816,66,70,82,79,43,92
20241817,学生1817,61,48,90,94,51,43
20241818,学生1818,54,79,72,51,76,61
20241819,学生1819,59,44,91,99,90,81
20241820,学生1820,69,46,72,62,43,54
20241821,学生1821,85,75,40,43,51,63
20241822,学生1822,64,66,77,92,94,88
20241823,学生1823,70,47,100,50,42,85
20241824,学生1824,100,92,65,44,68,77
20241825,学生1825,60,86,59,62,77,50
20241826,学生1826,88,80,99,71,81,62
20241827,学生1827,75,89,87,98,48,99
20241828,学生1828,45,99,100,73,100,74
20241829,学生1829,61,71,69,86,79,79
20241830,学生1830,68,85,73,66,46,45
20241831,学生1831,89,57,59,97,73,58
20241832,学生1832,95,63,50,97,96,85
20241833,学生1833,74,87,71,56,62,93
20241834,学生1834,42,69,47,63,50,64
20241835,学生1835,68,56,57,88,53,98
20241836,学生1836,67,97,70,92,89,52
20241837,学生1837,94,60,45,87,94,89
20241838,学生1838,84,68,83,41,91,44
20241839,学生1839,98,77,85,94,49,81
20241840,学生1840,58,91,70,64,73,57
20241841,学生1841,81,79,60,56,41,68
20241842,学生1842,85,81,54,56,79,95
20241843,学生1843,79,90,77,54,89,76
20241844,学生1844,63,86,70,84,68,51
20241845,学生1845,61,61,42,43,60,59
20241846,学生1846,89,51,63,81,90,83
20241847,学生1847,76,91,75,47,42,92
20241848,学生1848,47,87,75,57,77,100
20241849,学生1849,88,44,42,54,89,83
20241850,学生1850,40,62,88,61,61,51
20241851,学生1851,73,57,50,74,44,43
20241852,学生1852,98,49,58,62,84,92
20241853,学生1853,90,96,40,41,59,86
20241854,学生1854,45,68,84,59,100,48
20241855,学生1855,49,71,82,93,49,89
20241856,学生1856,97,84,60,86,97,87
20241857,学生1857,72,44,70,90,100,46
20241858,学生1858,74,89,69,42,73,76
20241859,学生1859,47,58,48,93,57,100
20241860,学生1860,44,65,91,64,93,58
20241861,学生1861,69,56,42,90,64,40
20241862,学生1862,89,81,55,84,68,43
20241863,学生1863,98,61,53,61,56,63
20241864,学生1864,91,100,99,73,73,77
20241865,学生1865,49,71,100,48,88,62
20241866,学生1866,71,82,90,99,62,49
20241867,学生1867,93,98,85,68,70,79
20241868,学生1868,80,79,98,53,43,69
20241869,学生1869,42,71,89,73,60,70
20241870,学生1870,72,43,93,52,49,57
20241871,学生1871,52,72,73,86,49,52
20241872,学生1872,54,84,90,74,48,49
20241873,学生1873,46,72,47,51,69,61
20241874,学生1874,78,40,96,90,97,86
20241875,学生1875,100,83,83,56,70,79
20241876,学生1876,85,91,75,66,82,70
20241877,学生1877,76,99,77,84,45,73
20241878,学生1878,68,45,71,63,61,67
20241879,学生1879,46,94,45,46,90,53
20241880,学生1880,53,61,71,83,42,71
20241881,学生1881,55,81,58,58,95,60
20241882,学生1882,61,51,66,62,61,43
20241883,学生1883,40,41,54,50,84,40
20241884,学生1884,76,75,74,43,67,77
20241885,学生1885,54,40,91,77,94,98
20241886,学生1886,51,70,78,97,89,69
20241887,学生1887,88,74,58,54,64,43
20241888,学生1888,49,44,97,53,54,68
20241889,学生1889,49,71,100,61,88,59
20241890,学生1890,71,96,68,71,47,70
20241891,学生1891,98,99,99,64,72,42
20241892,学生1892,49,65,100,55,54,41
20241893,学生1893,92,93,64,78,60,53
20241894,学生1894,51,54,96,64,75,43
20241895,学生1895,54,96,56,69,92,67
20241896,学生1896,84,90,89,87,53,71
20241897,学生1897,99,47,93,93,56,91
20241898,学生1898,63,89,50,80,56,73
20241899,学生1899,94,51,42,98,47,97
20241900,学生1900,46,41,96,64,90,61
20241901,学生1901,81,84,77,82,49,89
20241902,学生1902,40,62,47,86,46,69
20241903,学生1903,47,44,86,53,42,49
20241904,学生1904,61,90,99,73,81,43
20241905,学生1905,85,55,42,87,56,55
20241906,学生1906,93,64,68,69,88,98
20241907,学生1907,100,55,98,64,56,74
20241908,学生1908,55,71,73,74,86,71
20241909,学生1909,68,71,52,77,98,57
20241910,学生1910,83,88,58,99,54,53
20241911,学生1911,62,99,89,50,78,68
20241912,学生1912,62,57,61,59,73,81
20241913,学生1913,92,71,67,70,56,77
20241914,学生1914,99,94,83,76,57,64
20241915,学生1915,58,70,95,51,57,40
20241916,学生1916,59,73,91,91,94,91
20241917,学生1917,89,68,61,80,51,100
20241918,学生1918,95,51,88,66,58,62
20241919,学生1919,44,84,68,71,69,68
20241920,学生1920,42,87,52,56,94,94
20241921,学生1921,84,73,94,67,40,58
20241922,学生1922,47,62,61,68,68,47
20241923,学生1923,49,96,72,46,90,92
20241924,学生1924,53,96,60,65,62,65
20241925,学生1925,98,52,96,89,84,56
20241926,学生1926,91,68,84,41,44,80
20241927,学生1927,42,63,93,82,56,62
20241928,学生1928,92,60,93,73,52,78
20241929,学生1929,48,40,72,58,86,98
